reg,IPA
z$,s
c$,k
tch,t̠ʃ
ch,t̠ʃ
dj,d̠ʒ
j,d̠ʒ
g(?=[eéèêiíì]),d̠ʒ
gg,g
gu(?=[eéèêiíì]),g
[vw],ʋ
nh,ɲ
lh,ʎ
(?<=[aáàâãeéèêiíìoóòôõuúùû])s(?=[aáàâãeéèêiíìoóòôõuúùû]),z
s(?=[rmnlbdgvj]),z
pp,p
cc(?=[aáàâãoóòôõuúùû]),k
c(?=[tkrlçaáàâãoóòôõuúùû]),k
ck,k
tt,tː
qu(?=[eéèêiíì]),k
q(?=u[aáàâãoóòôõ]),k
q,k
mm,m
ny,nʲ
ly,lʲ
ff,f
ph,f
sc(?=[eéèêiíì]),s
sç(?=[aáàâãoóòôõuúùû]),s
ss,s
ç,s
c(?=[eéèêiíì]),s
cs,ks
cc,s
^r,r
rr,r
(?<!r)r(?!r),ɾ
ll,l
y,j
(?<=[áàâéèêoóòôúùû])i,j
sh,ʃ
x,ʃ
[úùû],uː
[óòõô],oː
aa,a
[àáãâ],aː
[éèê],eː
[íìî],iː
(?<=[ptkbdgmrɾsz])[j],i
h,
',ə
[cq], k 
